"per_target_trial","benchmark","fuzzer","edges_covered","coverage_increase","fuzzer_rank","initial_coverage","mean_exec_ns","mean_size_bytes","corpus_size","total_shared","total_eq","total_ineq","bin_text_size"
4,"libpcap_fuzz_both","afl",3414,349,2,23,7,5,20,10,9,6,3
4,"libpng-1.2.56","afl",859,423,4,7,14,10,2.5,6,5,4,1
4,"libxslt_xpath","afl",9403,1140,3,10,7,23,10,1,2,1,11
4,"mbedtls_fuzz_dtlsclient","afl",3415,500,4,13,17,21,13,11,11,9,6
4,"vorbis-2017-12-11","afl",1341,194,2,12,19,9,12.5,8,6,8,4
4,"woff2-2016-05-06","afl",886,379,4,3,19,15,5.5,9,10,11,5
4,"zlib_zlib_uncompress_fuzzer","afl",457,112,4,15,17,20,11,4,3,2,2
5,"harfbuzz-1.3.2","afl",6178,2877,2,3,4,4,3,5,8,10,7
5,"libjpeg-turbo-07-2017","afl",1738,602,4,8,16,18,6.5,2,1,3,9
5,"libpcap_fuzz_both","afl",3414,583,4,22,3,9,24,10,9,6,3
5,"libpng-1.2.56","afl",639,393,4,2,4,2,2.5,6,5,4,1
5,"libxslt_xpath","afl",10018,663,4,17,21,22,16,1,2,1,11
5,"mbedtls_fuzz_dtlsclient","afl",1937,444,4,2,16,22,3,11,11,9,6
5,"vorbis-2017-12-11","afl",1371,68,3,24,7,17,24,8,6,8,4
5,"woff2-2016-05-06","afl",1121,193,3,12,22,13,16,9,10,11,5
5,"zlib_zlib_uncompress_fuzzer","afl",470,35,4,24,6,14,23,4,3,2,2
6,"harfbuzz-1.3.2","afl",7117,1501,4,19,20,8,20,5,8,10,7
6,"libjpeg-turbo-07-2017","afl",1679,747,3,6,23,4,4.5,2,1,3,9
6,"libpcap_fuzz_both","afl",3215,828,4,19,2,14,23,10,9,6,3
6,"libpng-1.2.56","afl",886,163,4,19,8,21,22,6,5,4,1
6,"libxslt_xpath","afl",8439,1825,3,2,9,24,2,1,2,1,11
6,"mbedtls_fuzz_dtlsclient","afl",3594,291,4,19,3,19,21,11,11,9,6
6,"vorbis-2017-12-11","afl",1348,192,2,13,10,15,11,8,6,8,4
6,"woff2-2016-05-06","afl",901,316,4,4,16,5,3,9,10,11,5
6,"zlib_zlib_uncompress_fuzzer","afl",464,134,2,13,11,23,3,4,3,2,2
7,"harfbuzz-1.3.2","afl",7181,1004,3,22,2,16,22,5,8,10,7
7,"libjpeg-turbo-07-2017","afl",1895,538,3,14,19,5,11,2,1,3,9
7,"libpcap_fuzz_both","afl",3129,899,4,17,8,16,19,10,9,6,3
7,"libpng-1.2.56","afl",859,425,4,6,21,24,4.5,6,5,4,1
7,"libxslt_xpath","afl",9902,819,3,15,11,19,14,1,2,1,11
7,"mbedtls_fuzz_dtlsclient","afl",2864,604,4,8,22,23,4,11,11,9,6
7,"vorbis-2017-12-11","afl",1365,116,3,19,18,12,18,8,6,8,4
7,"woff2-2016-05-06","afl",1098,404,3,5,5,4,4,9,10,11,5
7,"zlib_zlib_uncompress_fuzzer","afl",465,155,4,11,14,12,7,4,3,2,2
8,"harfbuzz-1.3.2","afl",5484,3011,3,2,18,1,2,5,8,10,7
8,"libjpeg-turbo-07-2017","afl",1944,786,3,9,20,10,8.5,2,1,3,9
8,"libpcap_fuzz_both","afl",2603,1135,4,4,20,8,6,10,9,6,3
8,"libpng-1.2.56","afl",869,382,4,12,18,9,9.5,6,5,4,1
8,"libxslt_xpath","afl",8696,1958,3,3,4,2,3,1,2,1,11
8,"mbedtls_fuzz_dtlsclient","afl",3659,227,4,21,1,10,24,11,11,9,6
8,"vorbis-2017-12-11","afl",1373,81,3,22,5,19,22,8,6,8,4
8,"woff2-2016-05-06","afl",1135,214,4,11,13,12,10.5,9,10,11,5
8,"zlib_zlib_uncompress_fuzzer","afl",447,223,4,3,10,2,5,4,3,2,2
9,"harfbuzz-1.3.2","afl",6938,1699,4,12,11,18,11,5,8,10,7
9,"libjpeg-turbo-07-2017","afl",1694,797,4,5,3,16,4.5,2,1,3,9
9,"libpcap_fuzz_both","afl",2958,1067,3,11,19,21,10,10,9,6,3
9,"libpng-1.2.56","afl",888,143,4,21,9,13,20.5,6,5,4,1
9,"libxslt_xpath","afl",9879,847,3,14,16,8,15,1,2,1,11
9,"mbedtls_fuzz_dtlsclient","afl",2025,413,4,6,15,2,7,11,11,9,6
9,"vorbis-2017-12-11","afl",1370,125,4,17,13,16,17,8,6,8,4
9,"woff2-2016-05-06","afl",1149,268,3,10,20,24,7,9,10,11,5
9,"zlib_zlib_uncompress_fuzzer","afl",461,98,4,18,19,15,18.5,4,3,2,2
10,"harfbuzz-1.3.2","afl",6526,2040,4,7,24,23,6,5,8,10,7
10,"libjpeg-turbo-07-2017","afl",2014,386,3,21,18,15,22,2,1,3,9
10,"libpcap_fuzz_both","afl",3553,199,1,24,1,10,22,10,9,6,3
10,"libpng-1.2.56","afl",881,97,4,23,5,17,23.5,6,5,4,1
10,"libxslt_xpath","afl",10153,796,3,18,14,16,17,1,2,1,11
10,"mbedtls_fuzz_dtlsclient","afl",3743,291,3,23,5,9,22,11,11,9,6
10,"vorbis-2017-12-11","afl",1363,157,4,15,17,11,14,8,6,8,4
10,"woff2-2016-05-06","afl",1159,225,4,13,1,9,9,9,10,11,5
10,"zlib_zlib_uncompress_fuzzer","afl",452,119,4,14,22,21,9,4,3,2,2
11,"harfbuzz-1.3.2","afl",6839,1560,3,14,23,9,14,5,8,10,7
11,"libjpeg-turbo-07-2017","afl",1988,421,3,19,12,21,17.5,2,1,3,9
11,"libpcap_fuzz_both","afl",2965,1022,3,14,15,7,14,10,9,6,3
11,"libpng-1.2.56","afl",859,337,4,15,16,23,13.5,6,5,4,1
11,"libxslt_xpath","afl",7290,3016,3,1,24,7,1,1,2,1,11
11,"mbedtls_fuzz_dtlsclient","afl",3724,426,3,18,4,15,19.5,11,11,9,6
11,"vorbis-2017-12-11","afl",1165,357,3,3,6,2,3,8,6,8,4
11,"woff2-2016-05-06","afl",1092,224,4,8,15,6,10.5,9,10,11,5
11,"zlib_zlib_uncompress_fuzzer","afl",456,185,4,4,4,13,3,4,3,2,2
12,"harfbuzz-1.3.2","afl",7169,1473,3,21,17,12,21,4,7,9,7
12,"libjpeg-turbo-07-2017","afl",449,449,4,1,24,24,24,11,11,11,11
12,"libpcap_fuzz_both","afl",2239,765,3,5,4,11,2,9,8,5,3
12,"libpng-1.2.56","afl",859,375,4,11,2,15,13.5,5,4,3,1
12,"libxslt_xpath","afl",9430,984,4,11,1,1,11,1,1,1,10
12,"mbedtls_fuzz_dtlsclient","afl",3399,528,4,11,24,18,8,10,10,8,6
12,"vorbis-2017-12-11","afl",1253,275,3,6,9,24,5.5,7,5,7,4
12,"woff2-2016-05-06","afl",1231,99,3,24,23,19,24,8,9,10,5
12,"zlib_zlib_uncompress_fuzzer","afl",458,153,4,9,18,5,12,3,2,2,2
13,"harfbuzz-1.3.2","afl",7121,1497,3,20,5,17,18.5,5,8,10,7
13,"libjpeg-turbo-07-2017","afl",2017,357,3,23,13,20,21,2,1,3,9
13,"libpcap_fuzz_both","afl",3123,900,3,16,13,20,16,10,9,6,3
13,"libpng-1.2.56","afl",867,410,4,8,24,6,6.5,6,5,4,1
13,"libxslt_xpath","afl",8698,1539,4,6,19,5,4.5,1,2,1,11
13,"mbedtls_fuzz_dtlsclient","afl",3335,362,4,14,11,8,14,11,11,9,6
13,"vorbis-2017-12-11","afl",1361,164,2,14,8,22,15,8,6,8,4
13,"woff2-2016-05-06","afl",1145,204,4,15,17,21,14,9,10,11,5
13,"zlib_zlib_uncompress_fuzzer","afl",470,99,4,19,12,18,17,4,3,2,2
14,"harfbuzz-1.3.2","afl",5373,3055,3,1,21,2,1,5,8,10,7
14,"libjpeg-turbo-07-2017","afl",1653,689,4,7,10,9,6.5,2,1,3,9
14,"libpcap_fuzz_both","afl",3083,658,3,20,16,18,15,10,9,6,3
14,"libpng-1.2.56","afl",874,89,4,24,7,20,23.5,6,5,4,1
14,"libxslt_xpath","afl",10363,667,4,21,8,12,21,1,2,1,11
14,"mbedtls_fuzz_dtlsclient","afl",3608,289,4,20,8,20,19.5,11,11,9,6
14,"vorbis-2017-12-11","afl",1342,301,2,8,24,6,8,8,6,8,4
14,"woff2-2016-05-06","afl",1094,290,4,6,7,10,8,9,10,11,5
14,"zlib_zlib_uncompress_fuzzer","afl",459,153,4,10,9,3,16,4,3,2,2
15,"harfbuzz-1.3.2","afl",7044,1972,3,11,12,22,12,4,7,9,6
15,"libjpeg-turbo-07-2017","afl",2010,407,3,20,22,23,12.5,2,1,2,8
15,"libpcap_fuzz_both","afl",2906,1164,3,9,22,22,11,9,8,5,2
15,"libpng-1.2.56","afl",881,143,4,20,3,16,20.5,5,4,3,1
15,"libxslt_xpath","afl",10248,742,3,19,12,10,19,1,2,1,10
15,"mbedtls_fuzz_dtlsclient","afl",3347,450,4,12,20,4,12,10,10,8,5
15,"vorbis-2017-12-11","afl",1370,91,3,21,14,20,21,7,5,7,3
15,"woff2-2016-05-06","afl",1200,144,4,19,11,16,19,8,9,10,4
15,"zlib_zlib_uncompress_fuzzer","afl",435,435,4,1,24,24,24,11,11,11,11
16,"harfbuzz-1.3.2","afl",6883,2133,4,8,13,10,10,5,8,10,7
16,"libjpeg-turbo-07-2017","afl",1993,547,4,16,11,11,14.5,2,1,3,9
16,"libpcap_fuzz_both","afl",2586,887,4,7,23,4,5,10,9,6,3
16,"libpng-1.2.56","afl",859,313,4,16,12,19,17,6,5,4,1
16,"libxslt_xpath","afl",11055,318,3,24,15,11,23,1,2,1,11
16,"mbedtls_fuzz_dtlsclient","afl",2048,454,4,5,23,3,5.5,11,11,9,6
16,"vorbis-2017-12-11","afl",1294,177,2,11,22,7,12.5,8,6,8,4
16,"woff2-2016-05-06","afl",1072,213,4,7,14,8,12,9,10,11,5
16,"zlib_zlib_uncompress_fuzzer","afl",460,74,4,22,5,4,21,4,3,2,2
17,"harfbuzz-1.3.2","afl",6290,2949,3,4,15,3,5,5,8,10,7
17,"libjpeg-turbo-07-2017","afl",1692,823,4,4,6,12,3,2,1,3,9
17,"libpcap_fuzz_both","afl",3093,586,3,21,12,17,17,10,9,6,3
17,"libpng-1.2.56","afl",855,382,4,9,19,3,11,6,5,4,1
17,"libxslt_xpath","afl",10236,678,3,20,20,13,20,1,2,1,11
17,"mbedtls_fuzz_dtlsclient","afl",3507,333,4,16,7,6,17,11,11,9,6
17,"vorbis-2017-12-11","afl",1283,258,3,7,23,1,7,8,6,8,4
17,"woff2-2016-05-06","afl",1148,212,4,14,10,18,15,9,10,11,5
17,"zlib_zlib_uncompress_fuzzer","afl",446,322,4,2,15,1,1,4,3,2,2
18,"harfbuzz-1.3.2","afl",7453,1012,3,24,6,14,23,5,8,10,7
18,"libjpeg-turbo-07-2017","afl",2000,498,4,17,9,7,19,2,1,3,9
18,"libpcap_fuzz_both","afl",2669,842,2,10,11,15,3,10,9,6,3
18,"libpng-1.2.56","afl",858,213,4,18,11,22,18,6,5,4,1
18,"libxslt_xpath","afl",10022,673,3,16,10,21,18,1,2,1,11
18,"mbedtls_fuzz_dtlsclient","afl",3457,349,4,15,10,7,16,11,11,9,6
18,"vorbis-2017-12-11","afl",1192,508,4,2,1,4,1,8,6,8,4
18,"woff2-2016-05-06","afl",1197,140,4,20,9,11,17,9,10,11,5
18,"zlib_zlib_uncompress_fuzzer","afl",461,169,4,7,16,9,9,4,3,2,2
19,"harfbuzz-1.3.2","afl",6968,1559,4,16,7,11,16,5,8,10,7
19,"libjpeg-turbo-07-2017","afl",595,311,4,2,1,1,2,2,1,3,9
19,"libpcap_fuzz_both","afl",2739,1301,3,2,9,23,7,10,9,6,3
19,"libpng-1.2.56","afl",857,462,4,5,6,7,8,6,5,4,1
19,"libxslt_xpath","afl",8848,1809,3,4,2,18,6,1,2,1,11
19,"mbedtls_fuzz_dtlsclient","afl",3229,577,4,9,18,14,10,11,11,9,6
19,"vorbis-2017-12-11","afl",1278,315,2,5,4,14,4,8,6,8,4
19,"woff2-2016-05-06","afl",624,597,4,1,6,1,1.5,9,10,11,5
19,"zlib_zlib_uncompress_fuzzer","afl",468,85,4,21,1,19,14,4,3,2,2
20,"harfbuzz-1.3.2","afl",6829,1514,4,15,10,19,9,5,8,10,7
20,"libjpeg-turbo-07-2017","afl",2024,668,3,13,15,8,12.5,2,1,3,9
20,"libpcap_fuzz_both","afl",2706,809,4,12,21,6,13,10,9,6,3
20,"libpng-1.2.56","afl",863,351,4,14,17,5,13.5,6,5,4,1
20,"libxslt_xpath","afl",9255,1651,4,7,23,6,8,1,2,1,11
20,"mbedtls_fuzz_dtlsclient","afl",1984,407,4,4,21,16,5.5,11,11,9,6
20,"vorbis-2017-12-11","afl",1311,266,2,9,15,5,10,8,6,8,4
20,"woff2-2016-05-06","afl",1172,224,4,16,18,22,13,9,10,11,5
20,"zlib_zlib_uncompress_fuzzer","afl",465,184,4,5,3,11,6,4,3,2,2
21,"harfbuzz-1.3.2","afl",6746,1893,4,9,16,6,8,5,8,10,7
21,"libjpeg-turbo-07-2017","afl",1936,296,3,22,21,22,16,2,1,3,9
21,"libpcap_fuzz_both","afl",2748,1076,3,6,14,24,4,10,9,6,3
21,"libpng-1.2.56","afl",883,309,4,17,1,14,16,6,5,4,1
21,"libxslt_xpath","afl",8822,1777,4,5,3,4,4.5,1,2,1,11
21,"mbedtls_fuzz_dtlsclient","afl",3763,324,4,22,9,17,18,11,11,9,6
21,"vorbis-2017-12-11","afl",1333,249,3,10,3,23,9,8,6,8,4
21,"woff2-2016-05-06","afl",1132,261,4,9,21,23,5.5,9,10,11,5
21,"zlib_zlib_uncompress_fuzzer","afl",442,153,4,6,23,22,3,4,3,2,2
22,"harfbuzz-1.3.2","afl",6852,1920,4,10,8,15,13,5,8,10,7
22,"libjpeg-turbo-07-2017","afl",1911,655,2,11,14,14,8.5,2,1,3,9
22,"libpcap_fuzz_both","afl",2033,2018,4,1,5,2,1,10,9,6,3
22,"libpng-1.2.56","afl",868,364,4,13,15,12,13.5,6,5,4,1
22,"libxslt_xpath","afl",9214,1590,3,8,5,3,7,1,2,1,11
22,"mbedtls_fuzz_dtlsclient","afl",3608,426,4,17,13,13,15,11,11,9,6
22,"vorbis-2017-12-11","afl",1371,114,2,20,21,13,20,8,6,8,4
22,"woff2-2016-05-06","afl",316,156,4,2,3,2,1.5,9,10,11,5
22,"zlib_zlib_uncompress_fuzzer","afl",470,95,3,20,7,10,20,4,3,2,2
23,"harfbuzz-1.3.2","afl",6498,2326,3,5,19,24,4,5,8,10,7
23,"libjpeg-turbo-07-2017","afl",598,310,4,3,5,3,1,2,1,3,9
23,"libpcap_fuzz_both","afl",2744,1011,4,8,18,3,9,10,9,6,3
23,"libpng-1.2.56","afl",851,460,4,4,13,11,6.5,6,5,4,1
23,"libxslt_xpath","afl",11010,334,3,23,18,20,24,1,2,1,11
23,"mbedtls_fuzz_dtlsclient","afl",1966,397,4,3,14,24,2,11,11,9,6
23,"vorbis-2017-12-11","afl",752,159,4,1,2,10,2,8,6,8,4
23,"woff2-2016-05-06","afl",1155,184,4,17,8,17,18,9,10,11,5
23,"zlib_zlib_uncompress_fuzzer","afl",460,158,4,8,8,6,9,4,3,2,2
0,"harfbuzz-1.3.2","libfuzzer",6794,2553,3,6,14,21,7,5,8,10,7
0,"libjpeg-turbo-07-2017","libfuzzer",2020,633,4,15,17,6,14.5,2,1,3,9
0,"libpcap_fuzz_both","libfuzzer",2570,1020,4,6,24,1,8,10,9,6,3
0,"libpng-1.2.56","libfuzzer",907,155,2,22,10,18,19,6,5,4,1
0,"libxslt_xpath","libfuzzer",9328,1525,3,9,22,14,9,1,2,1,11
0,"mbedtls_fuzz_dtlsclient","libfuzzer",3043,826,2,7,12,5,9,11,11,9,6
0,"vorbis-2017-12-11","libfuzzer",1243,324,3,4,16,3,5.5,8,6,8,4
0,"woff2-2016-05-06","libfuzzer",1240,176,1,22,12,3,22,9,10,11,5
0,"zlib_zlib_uncompress_fuzzer","libfuzzer",471,69,1.5,23,21,16,22,4,3,2,2
1,"harfbuzz-1.3.2","libfuzzer",6667,1421,4,13,9,5,15,5,8,10,7
1,"libjpeg-turbo-07-2017","libfuzzer",1779,577,4,10,4,2,17.5,2,1,3,9
1,"libpcap_fuzz_both","libfuzzer",3202,733,4,21,6,13,21,10,9,6,3
1,"libpng-1.2.56","libfuzzer",903,422,2,10,23,4,9.5,6,5,4,1
1,"libxslt_xpath","libfuzzer",9478,860,4,12,6,15,13,1,2,1,11
1,"mbedtls_fuzz_dtlsclient","libfuzzer",3789,278,3,24,2,11,23,11,11,9,6
1,"vorbis-2017-12-11","libfuzzer",1353,105,4,18,20,8,19,8,6,8,4
1,"woff2-2016-05-06","libfuzzer",1226,167,3,21,24,14,20,9,10,11,5
1,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,117,1.5,17,20,17,14,4,3,2,2
2,"harfbuzz-1.3.2","libfuzzer",6949,1402,3,18,22,20,17,5,8,10,7
2,"libjpeg-turbo-07-2017","libfuzzer",1695,421,4,12,8,13,10,2,1,3,9
2,"libpcap_fuzz_both","libfuzzer",2816,829,4,13,17,12,12,10,9,6,3
2,"libpng-1.2.56","libfuzzer",889,677,3,1,22,8,1,6,5,4,1
2,"libxslt_xpath","libfuzzer",9579,858,4,13,17,9,12,1,2,1,11
2,"mbedtls_fuzz_dtlsclient","libfuzzer",3445,586,2,10,19,12,11,11,11,9,6
2,"vorbis-2017-12-11","libfuzzer",1352,129,3,16,12,21,16,8,6,8,4
2,"woff2-2016-05-06","libfuzzer",1194,183,2,18,2,20,21,9,10,11,5
2,"zlib_zlib_uncompress_fuzzer","libfuzzer",462,147,2.5,12,2,8,14,4,3,2,2
3,"harfbuzz-1.3.2","libfuzzer",7181,1727,3,17,3,7,18.5,5,8,10,7
3,"libjpeg-turbo-07-2017","libfuzzer",1861,348,4,18,2,17,20,2,1,3,9
3,"libpcap_fuzz_both","libfuzzer",3007,791,3,17,10,19,18,10,9,6,3
3,"libpng-1.2.56","libfuzzer",894,515,3,3,20,1,4.5,6,5,4,1
3,"libxslt_xpath","libfuzzer",10469,377,4,22,13,17,22,1,2,1,11
3,"mbedtls_fuzz_dtlsclient","libfuzzer",1624,400,2,1,6,1,1,11,11,9,6
3,"vorbis-2017-12-11","libfuzzer",1350,52,4,23,11,18,23,8,6,8,4
3,"woff2-2016-05-06","libfuzzer",1229,145,3,23,4,7,23,9,10,11,5
3,"zlib_zlib_uncompress_fuzzer","libfuzzer",469,117,3,16,13,7,18.5,4,3,2,2
4,"harfbuzz-1.3.2","libfuzzer",6911,615,4,23,1,13,24,5,8,10,7
4,"libjpeg-turbo-07-2017","libfuzzer",2037,240,3,24,7,19,23,2,1,3,9
4,"libpcap_fuzz_both","libfuzzer",3072,755,4,19,7,5,20,10,9,6,3
4,"libpng-1.2.56","libfuzzer",889,453,3,7,14,10,2.5,6,5,4,1
4,"libxslt_xpath","libfuzzer",9088,825,4,10,7,23,10,1,2,1,11
4,"mbedtls_fuzz_dtlsclient","libfuzzer",3528,613,3,13,17,21,13,11,11,9,6
4,"vorbis-2017-12-11","libfuzzer",1327,180,3,12,19,9,12.5,8,6,8,4
4,"woff2-2016-05-06","libfuzzer",905,398,3,3,19,15,5.5,9,10,11,5
4,"zlib_zlib_uncompress_fuzzer","libfuzzer",462,117,2,15,17,20,11,4,3,2,2
5,"harfbuzz-1.3.2","libfuzzer",5536,2235,4,3,4,4,3,5,8,10,7
5,"libjpeg-turbo-07-2017","libfuzzer",1744,608,3,8,16,18,6.5,2,1,3,9
5,"libpcap_fuzz_both","libfuzzer",3415,597,3,24,3,9,24,10,9,6,3
5,"libpng-1.2.56","libfuzzer",916,670,2,2,4,2,2.5,6,5,4,1
5,"libxslt_xpath","libfuzzer",10019,664,3,17,21,22,16,1,2,1,11
5,"mbedtls_fuzz_dtlsclient","libfuzzer",2029,536,3,2,16,22,3,11,11,9,6
5,"vorbis-2017-12-11","libfuzzer",1361,58,4,24,7,17,24,8,6,8,4
5,"woff2-2016-05-06","libfuzzer",1084,156,4,12,22,13,16,9,10,11,5
5,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,37,2,24,6,14,23,4,3,2,2
6,"harfbuzz-1.3.2","libfuzzer",7162,1546,3,19,20,8,20,5,8,10,7
6,"libjpeg-turbo-07-2017","libfuzzer",1162,230,4,6,23,4,4.5,2,1,3,9
6,"libpcap_fuzz_both","libfuzzer",3394,675,2,23,2,14,23,10,9,6,3
6,"libpng-1.2.56","libfuzzer",917,194,2,19,8,21,22,6,5,4,1
6,"libxslt_xpath","libfuzzer",7928,1314,4,2,9,24,2,1,2,1,11
6,"mbedtls_fuzz_dtlsclient","libfuzzer",3666,363,2,19,3,19,21,11,11,9,6
6,"vorbis-2017-12-11","libfuzzer",1340,184,4,13,10,15,11,8,6,8,4
6,"woff2-2016-05-06","libfuzzer",1038,453,2,4,16,5,3,9,10,11,5
6,"zlib_zlib_uncompress_fuzzer","libfuzzer",462,132,4,13,11,23,3,4,3,2,2
7,"harfbuzz-1.3.2","libfuzzer",7147,970,4,22,2,16,22,5,8,10,7
7,"libjpeg-turbo-07-2017","libfuzzer",1873,516,4,14,19,5,11,2,1,3,9
7,"libpcap_fuzz_both","libfuzzer",3162,1057,3,15,8,16,19,10,9,6,3
7,"libpng-1.2.56","libfuzzer",889,455,3,6,21,24,4.5,6,5,4,1
7,"libxslt_xpath","libfuzzer",9753,669,4,15,11,19,14,1,2,1,11
7,"mbedtls_fuzz_dtlsclient","libfuzzer",2962,702,3,8,22,23,4,11,11,9,6
7,"vorbis-2017-12-11","libfuzzer",1359,110,4,19,18,12,18,8,6,8,4
7,"woff2-2016-05-06","libfuzzer",1078,384,4,5,5,4,4,9,10,11,5
7,"zlib_zlib_uncompress_fuzzer","libfuzzer",473,163,1,11,14,12,7,4,3,2,2
8,"harfbuzz-1.3.2","libfuzzer",4659,2186,4,2,18,1,2,5,8,10,7
8,"libjpeg-turbo-07-2017","libfuzzer",1881,723,4,9,20,10,8.5,2,1,3,9
8,"libpcap_fuzz_both","libfuzzer",2779,1306,2,4,20,8,6,10,9,6,3
8,"libpng-1.2.56","libfuzzer",891,404,3,12,18,9,9.5,6,5,4,1
8,"libxslt_xpath","libfuzzer",8039,1301,4,3,4,2,3,1,2,1,11
8,"mbedtls_fuzz_dtlsclient","libfuzzer",3666,234,3,21,1,10,24,11,11,9,6
8,"vorbis-2017-12-11","libfuzzer",1365,73,4,22,5,19,22,8,6,8,4
8,"woff2-2016-05-06","libfuzzer",1207,286,3,11,13,12,10.5,9,10,11,5
8,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,248,1,3,10,2,5,4,3,2,2
9,"harfbuzz-1.3.2","libfuzzer",7143,1904,3,12,11,18,11,5,8,10,7
9,"libjpeg-turbo-07-2017","libfuzzer",1796,899,3,5,3,16,4.5,2,1,3,9
9,"libpcap_fuzz_both","libfuzzer",2892,639,4,18,19,21,10,10,9,6,3
9,"libpng-1.2.56","libfuzzer",914,169,3,21,9,13,20.5,6,5,4,1
9,"libxslt_xpath","libfuzzer",9685,653,4,14,16,8,15,1,2,1,11
9,"mbedtls_fuzz_dtlsclient","libfuzzer",2115,503,3,6,15,2,7,11,11,9,6
9,"vorbis-2017-12-11","libfuzzer",1373,128,3,17,13,16,17,8,6,8,4
9,"woff2-2016-05-06","libfuzzer",1049,168,4,10,20,24,7,9,10,11,5
9,"zlib_zlib_uncompress_fuzzer","libfuzzer",463,100,2,18,19,15,18.5,4,3,2,2
10,"harfbuzz-1.3.2","libfuzzer",6569,2083,3,7,24,23,6,5,8,10,7
10,"libjpeg-turbo-07-2017","libfuzzer",1986,358,4,21,18,15,22,2,1,3,9
10,"libpcap_fuzz_both","libfuzzer",3229,750,4,22,1,10,22,10,9,6,3
10,"libpng-1.2.56","libfuzzer",914,130,1,23,5,17,23.5,6,5,4,1
10,"libxslt_xpath","libfuzzer",10071,714,4,18,14,16,17,1,2,1,11
10,"mbedtls_fuzz_dtlsclient","libfuzzer",3722,270,4,23,5,9,22,11,11,9,6
10,"vorbis-2017-12-11","libfuzzer",1366,160,3,15,17,11,14,8,6,8,4
10,"woff2-2016-05-06","libfuzzer",1222,288,2,13,1,9,9,9,10,11,5
